RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,BaseDate,2023-02-28,2023-04-30,2024-01-31
63698,15005,14738,zip,NY,NY,Frewsburg,"Jamestown-Dunkirk-Fredonia, NY",Chautauqua County,2023-01-31,0.2,1.1,2.1
82062,15005,55043,zip,MN,MN,Lakeland,"Minneapolis-St. Paul-Bloomington, MN-WI",Washington County,2023-01-31,0.0,-0.2,-1.3
87223,15005,66542,zip,KS,KS,Tecumseh,"Topeka, KS",Shawnee County,2023-01-31,0.0,0.0,1.1
88425,15005,70032,zip,LA,LA,Arabi,"New Orleans-Metairie, LA",Saint Bernard Parish,2023-01-31,0.3,0.6,-3.0
95589,15005,88231,zip,NM,NM,Eunice,"Hobbs, NM",Lea County,2023-01-31,3.9,7.3,-3.6
67017,15010,21750,zip,MD,MD,Hancock,"Hagerstown-Martinsburg, MD-WV",Washington County,2023-01-31,1.5,3.2,2.2
74121,15010,37035,zip,TN,TN,Chapmansboro,"Nashville-Davidson--Murfreesboro--Franklin, TN",Cheatham County,2023-01-31,0.2,0.4,1.5
76988,15010,44085,zip,OH,OH,,"Ashtabula, OH",Ashtabula County,2023-01-31,0.1,0.7,1.9
58354,15013,01375,zip,MA,MA,Sunderland,"Springfield, MA",Franklin County,2023-01-31,0.0,-0.1,-1.1
59335,15015,04061,zip,ME,ME,Waterboro,"Portland-South Portland, ME",York County,2023-01-31,0.2,0.5,1.1
87415,15015,67025,zip,KS,KS,Cheney,"Wichita, KS",Sedgwick County,2023-01-31,0.6,1.7,1.4
78348,15017,46932,zip,IN,IN,Galveston,"Logansport, IN",Cass County,2023-01-31,0.2,0.9,1.6
87541,15018,67335,zip,KS,KS,Cherryvale,"Coffeyville, KS",Montgomery County,2023-01-31,0.2,0.3,0.8
95252,15019,87016,zip,NM,NM,Estancia,"Albuquerque, NM",Torrance County,2023-01-31,2.1,6.4,5.2
58854,15020,02667,zip,MA,MA,,"Barnstable Town, MA",Barnstable County,2023-01-31,-0.6,-1.2,-0.6
64894,15022,17063,zip,PA,PA,Milroy,"Lewistown, PA",Mifflin County,2023-01-31,0.9,1.7,2.1
82201,15022,55349,zip,MN,MN,Howard Lake,"Minneapolis-St. Paul-Bloomington, MN-WI",Wright County,2023-01-31,0.4,1.3,-1.7
82508,15024,55946,zip,MN,MN,Kenyon,"Red Wing, MN",Goodhue County,2023-01-31,0.3,0.6,-1.4
73558,15024,35643,zip,AL,AL,,"Decatur, AL",Lawrence County,2023-01-31,,0.1,-1.2
67374,15027,22728,zip,VA,VA,Midland,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fauquier County,2023-01-31,0.3,0.9,-1.7
73545,15031,35616,zip,AL,AL,Cherokee,"Florence-Muscle Shoals, AL",Colbert County,2023-01-31,1.9,4.1,4.2
68494,15031,25168,zip,WV,WV,,"Huntington-Ashland, WV-KY-OH",Putnam County,2023-01-31,0.5,1.1,-0.3
77148,15031,44403,zip,OH,OH,,"Youngstown-Warren-Boardman, OH-PA",Trumbull County,2023-01-31,0.4,0.9,1.5
83408,15037,57718,zip,SD,SD,,"Rapid City, SD",Meade County,2023-01-31,0.1,0.1,0.7
