price,bed,bath,acre_lot,house_size,zip_code
189000.0,4.0,4.0,0.73,3060.0,00802
185000.0,4.0,4.0,0.5,3060.0,00802
170000.0,4.0,4.0,1.01,3060.0,00802
595000.0,4.0,4.0,0.74,4400.0,00830
150000.0,4.0,4.0,0.62,3060.0,00802
195000.0,4.0,4.0,2.06,3060.0,00802
145000.0,4.0,4.0,0.45,3060.0,00802
299000.0,4.0,4.0,0.14,4400.0,00830
195000.0,4.0,4.0,1.03,4400.0,00830
225000.0,4.0,4.0,0.82,4400.0,00830
895000.0,4.0,4.0,0.9,4400.0,00830
233000.0,4.0,4.0,0.52,3060.0,00802
585000.0,4.0,4.0,0.44,4400.0,00830
23000000.0,4.0,4.0,130.0,3060.0,00802
599000.0,4.0,4.0,4.93,3060.0,00802
1000000.0,5.0,5.0,0.25,10695.0,00802
99000.0,4.0,4.0,1.0,3060.0,00802
825000.0,6.0,5.0,0.88,4400.0,00802
125000.0,4.0,4.0,0.05,3060.0,00802
275000.0,2.0,2.0,0.73,1661.0,00802
125000.0,4.0,4.0,0.86,3060.0,00802
5990000.0,4.0,5.0,0.67,8000.0,00802
2000000.0,3.0,5.0,1.21,4832.0,00802
249900.0,1.0,1.0,0.73,760.0,00802
949000.0,4.0,4.0,0.89,3000.0,00802
2000000.0,2.0,3.0,0.5,2771.0,00830
2000000.0,4.0,4.0,0.25,3840.0,00830
850000.0,4.0,4.0,0.46,4400.0,00830
41000.0,3.0,3.0,0.77,2290.0,00820
59000.0,3.0,3.0,0.64,2290.0,00820
39900.0,3.0,3.0,0.29,2290.0,00820
81950.0,3.0,3.0,0.48,2290.0,00820
79500.0,3.0,3.0,0.76,2290.0,00820
129000.0,3.0,3.0,2.01,2290.0,00820
265000.0,3.0,3.0,3.09,2290.0,00820
78000.0,3.0,3.0,0.74,2290.0,00820
3765000.0,4.0,5.0,1.48,7898.0,00820
129000.0,3.0,3.0,1.24,2290.0,00820
195000.0,3.0,3.0,3.23,2290.0,00820
299000.0,3.0,3.0,1.23,2290.0,00820
595000.0,3.0,3.0,15.8,2290.0,00820
139000.0,3.0,3.0,0.58,2290.0,00820
895000.0,3.0,3.0,38.78,2290.0,00820
180000.0,3.0,3.0,1.66,2290.0,00820
150000.0,3.0,3.0,2.0,2290.0,00820
105000.0,3.0,3.0,0.69,2290.0,00820
179000.0,3.0,3.0,0.69,2290.0,00820
189000.0,3.0,3.0,0.92,2290.0,00820
179000.0,3.0,3.0,0.76,2290.0,00820
495000.0,3.0,3.0,3.3,2290.0,00820
149000.0,3.0,3.0,0.62,2290.0,00820
349000.0,3.0,3.0,1.87,2290.0,00820
1500000.0,3.0,3.0,14.0,2290.0,00820
349000.0,3.0,3.0,1.55,2290.0,00820
995000.0,3.0,3.0,21.35,2290.0,00820
299000.0,3.0,3.0,0.94,2290.0,00820
1500000.0,3.0,3.0,5.33,2290.0,00820
